worker,duration,job,judgment,unit,wqs,wqs_initial
20965903,79.0,1,1,1,0.0,0.0
43033919,45.0,1,1,1,0.00557131628076,0.0077023409431
42164161,42.2,1,5,5,0.0176026531686,0.0359090247775
41184481,23.4038095238,5,74,74,0.0258108540351,0.0252886845543
40017375,19.5714285714,1,7,7,0.0424658199046,0.0501458060001
43262831,53.2,1,15,15,0.0522071765106,0.0432069365151
43074714,65.3243589744,4,38,38,0.0543981350456,0.0565057647485
35062592,193.0,1,1,1,0.0579879742991,0.0482942783878
5626024,61.6666666667,1,3,3,0.0638318528366,0.0462462177569
34737109,45.0,1,1,1,0.0709149826537,0.0604336228336
40792955,23.0685714286,5,74,74,0.0909189628045,0.0672209539536
27753923,7.5,1,2,2,0.0918394859871,0.108556113333
39431173,178.0,1,3,3,0.104880580379,0.0978590558066
42555688,95.2,2,21,21,0.135921314094,0.0814579190236
43142051,120.0,1,1,1,0.135937117068,0.0891482458219
39339973,35.1638095238,5,66,66,0.137072027165,0.107049485982
29096504,58.0,1,2,2,0.147918967652,0.133241185484
11767390,18.8333333333,4,10,10,0.153853846201,0.139952759372
42233797,69.0,1,5,5,0.162541917909,0.23511416886
42870640,297.714285714,1,7,7,0.168433488583,0.18074178124
11257883,47.0,1,1,1,0.17135872374,0.144546779087
42721929,59.6276190476,5,50,50,0.179680562527,0.11340178884
