worker,duration,job,judgment,unit,wqs,wqs_initial
11106820,104.466666667,1,15,15,0.0711015106389,0.0802686575419
43338334,188.25,1,4,4,0.0728180420754,0.0958365231058
44196945,146.5,1,4,4,0.0728731593161,0.0880383247817
37465804,97.0,1,1,1,0.0733795669439,0.0609274393399
40725179,75.6,1,15,15,0.0742522123104,0.0643760826103
13197642,47.6666666667,1,15,15,0.0764232468451,0.0598072865332
44282818,85.488372093,1,43,43,0.0782398039704,0.0595365430819
44177859,172.235294118,1,17,17,0.0801148067543,0.0618146919508
42693607,49.2959183673,1,98,98,0.0803866575902,0.0637809839995
42490908,68.3333333333,1,3,3,0.0821575676846,0.0583508519546
38517728,56.3333333333,1,15,15,0.0843736244626,0.0949746830892
44261397,87.8333333333,1,6,6,0.0843930843161,0.0790430537728
19526833,89.8666666667,1,15,15,0.0849410755413,0.0583207601395
43972054,45.4545454545,1,11,11,0.0875135983544,0.0580646750402
43167893,217.266666667,1,30,29,0.0898308449525,0.0808071747991
43698588,74.0666666667,1,15,15,0.0901966338517,0.0659987701
44301971,262.2,1,5,5,0.0906565594062,0.0645008607741
43102813,115.628571429,1,70,70,0.0912139218276,0.0623677144906
7265244,29.0,1,5,5,0.0913326229595,0.0730482885277
44271664,8.5,1,2,2,0.0921879928075,0.0860288149731
44217072,39.1578947368,1,38,38,0.0929638276528,0.116239123336
44292353,48.2857142857,1,14,14,0.0931900519243,0.0833497647114
44217097,41.32,1,50,50,0.0935271200798,0.0917412161264
39570145,84.0,1,1,1,0.094903106183,0.0787323906973
43975115,94.8666666667,1,30,30,0.0952042007375,0.068061767321
19854505,62.5,1,8,8,0.0952645577606,0.0938561917997
44196782,90.55,1,60,60,0.0963077822003,0.0659662619837
43860631,20.5217391304,1,23,23,0.0970540551824,0.0797235261481
43887314,96.0317460317,1,63,63,0.0971116753588,0.0569626391477
36468266,47.2903225806,1,62,62,0.0971176805333,0.0661402652584
44241043,61.375,1,8,8,0.0973098122912,0.0949397351992
43665383,48.0666666667,1,15,15,0.0978157493965,0.0559931083772
39884878,35.5714285714,1,7,7,0.0987709853953,0.058400775769
43974264,11.0,1,1,1,0.0992109346321,0.101976419997
43987776,39.0,1,9,9,0.101787332788,0.0956886732801
44254107,68.0,1,1,1,0.102382909693,0.102626371642
15925358,98.8,1,5,5,0.102464401677,0.090375074109
44191864,47.6,1,5,5,0.10303876928,0.090770505473
44256597,9.0,1,1,1,0.103059033143,0.0927354031802
44180540,41.4242424242,1,33,33,0.103713932791,0.0757439147311
22396848,21.5,1,4,4,0.104546305985,0.089483232493
43476716,43.8666666667,1,30,30,0.104748877157,0.0819592252069
44276053,237.083333333,1,12,12,0.105992398724,0.0987990049598
44054282,115.46875,1,64,64,0.10729581575,0.088857427544
44126671,186.914893617,1,47,47,0.108516838397,0.0742745030748
43785549,97.4615384615,1,13,13,0.108960575163,0.0724498870133
36466155,271.0,1,4,4,0.109366409344,0.10523275496
19780901,68.3333333333,1,3,3,0.110040748854,0.172359240207
44170592,67.2,1,10,10,0.110619488655,0.0397855220888
44233968,77.8,1,15,15,0.110805584638,0.0941811798416
30188660,37.0909090909,1,11,11,0.111342418208,0.0807919003552
43969382,45.0,1,5,5,0.111837752145,0.0715082438631
20483583,49.5,1,4,4,0.112036370142,0.142691320233
44265785,158.6,1,5,5,0.112126342898,0.101121064894
44230164,75.9565217391,1,46,46,0.113443336871,0.0802398031709
44208493,94.0,1,1,1,0.114465854889,0.0953316282998
44126851,184.944444444,1,18,18,0.116818704991,0.0875166461295
44215731,48.8666666667,1,15,15,0.116917229631,0.0597830039052
44132145,133.333333333,1,3,3,0.118241400186,0.120402076416
44189477,58.6363636364,1,11,11,0.119931844664,0.0671004237141
44282085,19.0,1,15,15,0.122047616977,0.0916044007914
44165199,413.0,1,2,2,0.12277504731,0.151485131066
42609241,79.1276595745,1,47,47,0.122836792176,0.110792607648
44029644,20.2,1,15,15,0.123327863992,0.0903448144785
44254968,50.0625,1,16,16,0.124029564715,0.0870844987502
44113725,221.261744966,1,149,149,0.124168576741,0.0861713311809
6348382,155.0,1,1,1,0.124318509728,0.101351258405
44015607,178.25,1,36,36,0.124749257184,0.0954569169854
44223409,43.0238095238,1,42,42,0.125194240514,0.161559367758
2044524,32.4333333333,1,30,30,0.125216298246,0.103849713544
44099814,97.8571428571,1,7,7,0.127101607467,0.11237363264
35694756,84.2222222222,1,9,9,0.127941626144,0.101064969337
44145380,56.9285714286,1,56,56,0.128213868163,0.0867511146435
1914041,28.0,1,15,15,0.12835925748,0.109977427552
6576528,46.033492823,1,209,209,0.128467010302,0.0874956312133
43680640,72.0,1,1,1,0.128719758077,0.12366587652
44213719,68.3333333333,1,3,3,0.128989344857,0.118676299477
39013744,44.8076923077,1,104,104,0.129856511926,0.0951399689634
44204154,42.5384615385,1,65,65,0.130096506778,0.145394153365
43747423,59.4375,1,16,16,0.130111852062,0.0884263959913
44226518,111.0,1,1,1,0.130690943289,0.108194879182
13253916,69.8571428571,1,7,7,0.131080135642,0.114380603673
36266493,37.0,1,12,12,0.132420973972,0.105259020486
43854007,36.25,1,4,4,0.13477541751,0.125580757093
39127197,20.0,1,2,2,0.135293032854,0.0564812951998
36986148,70.3333333333,1,3,3,0.1360860397,0.106857118778
6363996,214.8,1,10,10,0.137988639731,0.100576608293
39339973,38.2307692308,1,65,65,0.139932902107,0.124879343514
44255757,47.6428571429,1,28,28,0.140957611338,0.104270400976
43670571,17.0,1,1,1,0.142607235329,0.139896252
44324297,76.9333333333,1,15,15,0.143429064755,0.102794195698
44263594,15.0,1,3,3,0.143472780189,0.10290817557
44203945,31.6666666667,1,18,18,0.143539582463,0.111268975871
44293663,125.68,1,25,25,0.143838130594,0.104931239392
44147081,106.823529412,1,34,34,0.14458389255,0.104880368299
43160111,70.375,1,32,32,0.145540587917,0.111302342194
44195361,99.9333333333,1,15,15,0.145743896917,0.0806278897478
43948769,31.8461538462,1,13,13,0.145866077581,0.126566027237
44322393,63.3472222222,1,72,72,0.146392548433,0.105719681937
